abc1,abc2,abc3,abc4,Date,SI,OI
0.057577727,0.049473369,0.049253718,0.048877554,13/02/2007,0.01096973,0.024338
-0.003320996,-0.004534397,-0.005705034,-0.005203696,20/02/2007,0.011857808,-0.095307
-0.037760389,-0.034214949,-0.033309496,-0.032858616,27/02/2007,0.014110988,0.041721
-0.338725715,-0.349733717,-0.349752154,-0.343829489,6/03/2007,0.00796835,0.005986
0.00338547,0.001836601,0.001868789,0.001926911,13/03/2007,-0.000415301,0.047048
0.086986948,0.058160511,0.046276534,0.040184629,20/03/2007,0.005733469,-0.009734
-0.032481268,0.000624973,0.002123627,0.003843158,27/03/2007,-0.003603562,0.017971
0.134793794,0.127587114,0.12473688,0.120429062,3/04/2007,0.018897124,0.027574
0.002526807,0.002075763,0.002182513,0.002212268,10/04/2007,0.0075866,-0.03165
-0.021992629,-0.013884897,-0.00797008,-0.005269743,17/04/2007,0.005030218,-0.01687
0.05833921,0.028785612,0.006724089,-0.006455581,24/04/2007,-0.013217083,0.006644
0.002323233,0.008086818,0.010867359,0.011131076,1/05/2007,0.000783312,0.02563
-0.002016563,-0.000500805,0.000540711,0.001732966,8/05/2007,-0.008832962,0.042702
-0.071968489,-0.073172866,-0.072547093,-0.070701255,15/05/2007,-0.009683396,0.064388
-0.002251112,0.002152635,0.000800635,-0.000595553,22/05/2007,0.008832662,-0.098714
0.044903682,0.018560278,0.02106042,0.022642329,29/05/2007,-0.014214231,0.038407
0.083054575,0.091040949,0.097211047,0.102055054,5/06/2007,0.013189236,0.035171
0.086692116,0.112234305,0.11420164,0.1142182,12/06/2007,0.006431283,0.008875
-0.00741194,0.033425735,0.041571451,0.048394743,19/06/2007,0.002383913,-0.009819
0.163760223,0.167237783,0.170044945,0.168631886,26/06/2007,-0.000618936,0.013335
0.037420785,0.050515921,0.067153445,0.076373078,3/07/2007,0.018153154,0.063745
0.08085219,0.083884895,0.080789617,0.079462551,10/07/2007,0.008356885,0.046475
-0.028855524,-0.027324321,-0.025479913,-0.023413474,17/07/2007,-0.001284163,0.003053
0.025653132,0.015559252,0.000326749,-0.020179515,24/07/2007,0.002654162,-0.063679
0.003781865,0.021911572,0.021084047,0.02317038,31/07/2007,0.01055701,0.035491
-0.346956375,-0.348095207,-0.328698084,-0.296022921,7/08/2007,-0.012821463,-0.01642
-0.085723713,-8.96E-02,-0.090878501,-0.095537296,14/08/2007,-0.028803705,0.012146
0.003359493,0.00522375,0.0133588,0.022052154,21/08/2007,-0.027541814,-0.094788
-0.036485402,-0.034954168,-0.036118365,-0.037410094,28/08/2007,-0.010850775,0.010548
-0.020941691,-0.018580571,-0.016335272,-0.017988829,4/09/2007,0.016877136,0.056508
0.144975612,0.134866719,0.135284105,0.133786723,11/09/2007,-0.004837233,0.055484
-0.047312486,-0.044422678,-0.043464667,-0.043233993,18/09/2007,0.009023496,-0.056334
0.108920268,0.114254653,0.123552262,0.129045145,25/09/2007,-0.006328356,-0.078761
0.002175168,0.001817418,0.001512862,0.001064847,2/10/2007,0.009153868,0.016424
0.022785146,0.025987697,0.022055556,0.016400787,9/10/2007,0.007963894,0.01488
0.00377629,0.006191799,0.008568863,0.010999777,16/10/2007,0.009023391,0.048369
